"Elevation (m)","Slope (degrees)","Cumulative horizon","Cumulative viewshed","dist_to_ridges","dist_to_rocks","dist_to_watedges"
1101.92004394531,3.58003354072571,1,1,1,1,1
1101.30004882812,2.08246254920959,2,2,2,2,2
1112.14001464844,10.2388591766357,3,3,3,3,3
1106.96997070312,6.63948726654053,4,4,4,4,4
1107.82995605469,5.3828592300415,5,5,5,5,5
1109.23999023438,4.19683790206909,6,6,6,6,6
1098.22998046875,3.58602356910706,7,7,7,7,7
1164.42004394531,1.00266635417938,8,8,8,8,8
1162.96997070312,2.5261869430542,9,9,9,9,9
1161.43994140625,2.86451816558838,10,10,10,10,10
1159.58996582031,3.17949628829956,11,11,11,11,11
1157.89001464844,3.68005990982056,12,12,12,12,12
1152.73999023438,3.96546792984009,13,13,13,13,13
1153.17004394531,2.57744789123535,14,14,14,14,14
1150.21997070312,2.66202712059021,15,15,15,15,15
1147.28002929688,5.6801609992981,16,16,16,16,16
1149.89001464844,0.759871244430542,17,17,17,17,17
1152.02001953125,7.10644674301147,18,18,18,18,18
1112.88000488281,6.51370573043823,19,19,19,19,19
1106.01000976562,3.75805950164795,20,20,20,20,20
1111.90002441406,4.71683645248413,21,21,21,21,21
1110.38000488281,1.71159934997559,22,22,22,22,22
1159.59997558594,5.16455602645874,23,23,23,23,23
1159.90002441406,5.3783278465271,24,24,24,24,24
1049.9599609375,1.74157536029816,25,25,25,25,25
1049.48999023438,1.39180815219879,26,26,26,26,26
1052.92004394531,4.43929862976074,27,27,27,27,27
1045.09997558594,3.27090072631836,28,28,28,28,28
1050.11999511719,1.36722147464752,29,29,29,29,29
1094.98999023438,1.13480639457703,30,30,30,30,30
1095.21997070312,1.48394763469696,31,31,31,31,31
1095.5400390625,0.0226702615618706,32,32,32,32,32
1108.52001953125,0.888955771923065,33,33,33,33,33
1115.38000488281,5.85452747344971,34,34,34,34,34
1165.25,5.48230838775635,35,35,35,35,35
1194.43005371094,2.48529124259949,36,36,36,36,36
1232.72998046875,5.37401247024536,37,37,37,37,37
1223.09997558594,5.64416980743408,38,38,38,38,38
1211.73999023438,4.45323657989502,39,39,39,39,39
1212.5400390625,4.67300176620483,40,40,40,40,40
1262.06005859375,4.568434715271,41,41,41,41,41
1264.71997070312,1.45775675773621,42,42,42,42,42
1262.56994628906,4.06955480575562,43,43,43,43,43
1250.63000488281,15.2686443328857,44,44,44,44,44
1038.42004394531,0.720062434673309,45,45,45,45,45
1036.97998046875,2.95757079124451,46,46,46,46,46
1032.93005371094,4.03969287872314,47,47,47,47,47
1302.33996582031,1.97770547866821,48,48,48,48,48
1292.73999023438,2.75757145881653,49,49,49,49,49
1251.72998046875,1.54122579097748,50,50,50,50,50
1163.83996582031,2.31538462638855,51,51,51,51,51
1160.92004394531,0.81983757019043,52,52,52,52,52
1160.30004882812,3.35775828361511,53,53,53,53,53
1161.93005371094,4.22522115707397,54,54,54,54,54
1160.4599609375,5.07422876358032,55,55,55,55,55
1147.35998535156,0.526761412620544,56,56,56,56,56
1163.97998046875,3.55339479446411,57,57,57,57,57
1276.55004882812,3.54837799072266,58,58,58,58,58
1134.15002441406,1.21286427974701,59,59,59,59,59
1130.32995605469,1.88382256031036,60,60,60,60,60
1120.46997070312,1.40854406356812,61,61,61,61,61
1120.28002929688,1.92688202857971,62,62,62,62,62
1265.2099609375,2.25383973121643,63,63,63,63,63
1263.71997070312,5.84347105026245,64,64,64,64,64
1333.15002441406,1.00142967700958,65,65,65,65,65
1252.78002929688,1.46324348449707,66,66,66,66,66
1245.55004882812,3.06951022148132,67,67,67,67,67
1277.5,4.80492544174194,68,68,68,68,68
1280.65002441406,2.49040842056274,69,69,69,69,69
1271.81005859375,4.10102033615112,70,70,70,70,70
1266.68994140625,3.34419584274292,71,71,71,71,71
1203.31994628906,1.1144734621048,72,72,72,72,72
1202.9599609375,1.87753915786743,73,73,73,73,73
1217.36999511719,2.43400120735168,74,74,74,74,74
1143.64001464844,4.13770151138306,75,75,75,75,75
1189.17004394531,3.24649834632874,76,76,76,76,76
1134.55004882812,3.67645883560181,77,77,77,77,77
1137.28002929688,4.11846971511841,78,78,78,78,78
1194.73999023438,3.52607369422913,79,79,79,79,79
1210.31994628906,0.607750535011292,80,80,80,80,80
1210.35998535156,0.154821380972862,81,81,81,81,81
1210.35998535156,0.315491080284119,82,82,82,82,82
1208.40002441406,5.28618288040161,83,83,83,83,83
