covariate;Lower CI;Median;Upper CI
dtm;6.377.644.375;1212201;1212201
dtm;0;0;0.778164938948963
slope;6.198.857.375;772124.5;896644.25
slope;3,77E-34;6,72E-03;0.333136937895799
cum_horizon;6.507.026.125;1211104.75;1.211.568.775
cum_horizon;0;0;0.483107619213962
cum_viewshed;6.466.509.125;1212201;1212201
cum_viewshed;0;0;0.591027459090047
dist_to_ridges;6.363.290.125;1207856.5;12.089.956.875
dist_to_ridges;0;0;0.795037853650278
dist_to_rocks;6.431.069.875;1211100;1211100
dist_to_rocks;0;0;0.673312945693565
dist_to_watedges;6.531.145.125;1210508.5;1210721.8
dist_to_watedges;0;0;0.41735673218371
tpi;299.043.175;547225.75;6.148.136.375
tpi;0.277525694440697;0.681317059599151;1
